번호,개방서비스명,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체
1,병원,1999-08-27,3,폐업,3,폐업,2012-03-27,,,,521-7000,,,충청남도 천안시 쌍용동 542-3,,,천안충무한방병원,2012-03-27 17:41,2018-08-31 23:59,한방병원,,,한방병원,1,7,30,0,301 302 303 304 305 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과",,,,0,0,,,0,,시군구
2,병원,2007-01-29,3,폐업,3,폐업,2010-03-04,,,,575-7100,,,충청남도 천안시 성정동 964,,,그린필요양병원,2010-12-28 16:38,2018-08-31 23:59,요양병원(일반요양병원),,,요양병원(일반요양병원),3,21,104,0,101 102 120 109 122,"내과, 신경과, 마취통증의학과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
3,병원,2010-03-04,3,폐업,3,폐업,2013-07-05,,,,575-7100,,331-977,충청남도 천안시 서북구 성정2동 964번지,충청남도 천안시 서북구 백석로 207 (성정동),,그린필병원,2013-07-05 17:38,2018-08-31 23:59,병원,211791.1136,368665.5047,병원,1,22,117,0,101 120,"내과, 재활의학과",,,,0,0,,,0,,시군구
4,병원,2008-02-15,3,폐업,3,폐업,2013-09-11,,,,577-7799,,331-172,충청남도 천안시 서북구 성정2동 544번지,충청남도 천안시 서북구 동서대로 110-23 (성정동),331-936,참조은병원,2014-11-03 17:36,2018-08-31 23:59,병원,211977.1833,369217.0577,병원,1,0,90,883.87,101 120 114 111 122,"내과, 소아청소년과, 피부과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
5,병원,2010-01-13,3,폐업,3,폐업,2020-01-15,,,,041-577-8888,,331-946,충청남도 천안시 서북구 쌍용1동 395번지 9호 2필지,"충청남도 천안시 서북구 충무로 158-13 (쌍용동,2필지)",,미즈나래여성병원,2020-01-15 20:08,2020-01-17 2:40,병원,211192.1134,365734.4927,병원,12,30,60,1267.27,110,산부인과,,,,0,0,,,0,,시군구
6,병원,2011-07-21,3,폐업,3,폐업,2017-07-24,,,,041-523-3575,,,"충청남도 천안시 동남구 영성동 80번지 4호 2,3층","충청남도 천안시 동남구 큰시장길 37, 2,3층 (영성동)",31131,제중요양병원,2019-11-12 17:33,2019-11-14 2:40,요양병원(일반요양병원),213400.8537,366772.4155,요양병원(일반요양병원),10,17,83,1382,301 302 303 304 305 306 307 308 101 105 109,"내과, 정형외과, 마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
7,병원,2013-03-14,3,폐업,3,폐업,2014-07-02,,,,,,,충청남도 천안시 동남구 삼룡동 381번지 22호 3층,"충청남도 천안시 동남구 천안대로 215 (삼룡동, 천안효요양병원)",31212,의료법인금비의료재단천안믿음요양병원,2015-11-13 11:08,2018-08-31 23:59,요양병원(일반요양병원),214670.3923,362906.8475,요양병원(일반요양병원),1,16,56,543.13,101 102 122 120,"내과, 신경과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
8,병원,2012-04-13,3,폐업,3,폐업,2019-02-12,,,,041-577-7733,,331-956,충청남도 천안시 서북구 쌍용3동 2013번지,충청남도 천안시 서북구 쌍용1길 21 (쌍용동),31166,부강병원,2020-03-30 9:49,2020-04-01 2:40,병원,210575.2082,366678.4303,병원,5,12,56,600.59,101 105 116 109 111 113 106,"내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 영상의학과",,,,0,0,,,0,,시군구
9,병원,2013-05-06,3,폐업,3,폐업,2022-12-27,,,,041-410-3006,5784.78,330-150,충청남도 천안시 동남구 삼룡동 381번지 22호,충청남도 천안시 동남구 천안대로 215 (삼룡동),31212,로하스요양병원,2023-12-13 14:42,2023-12-15 2:40,요양병원(일반요양병원),214670.3923,362906.8475,요양병원(일반요양병원),19,27,182,5784.78,301 122 120 106 105 101,"내과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시도
10,병원,2018-07-26,3,폐업,3,폐업,2020-12-14,,,,041-551-8833,,,충청남도 천안시 동남구 병천면 병천리 176번지 7호,충청남도 천안시 동남구 병천면 충절로 1782,31254,아우내요양병원,2021-01-20 16:38,2021-01-22 2:40,요양병원(일반요양병원),226969.2299,362368.3872,요양병원(일반요양병원),1,10,60,1343.51,122 120 115 114 113 110 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
11,병원,2021-05-20,3,폐업,3,폐업,2021-10-18,,,,041-561-7777,,,충청남도 천안시 동남구 병천면 병천리 176-7,"충청남도 천안시 동남구 병천면 충절로 1782, 2층~7층",31254,라온힐필립병원,2021-10-18 9:49,2023-07-14 2:40,정신병원,226969.2299,362368.3872,정신병원,1,43,218,5742.92,308 307 306 305 304 303 302 301 122 120 119 115 114 111 109 108 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
12,병원,2019-03-20,1,영업/정상,13,영업중,,,,,1522-2357,2015.59,,충청남도 천안시 서북구 불당동 1485 5층,"충청남도 천안시 서북구 번영로 201, 5층 (불당동)",31156,메디그린한방병원,2024-01-22 14:38,2024-01-24 2:40,한방병원,209752.6489,368640.5444,한방병원,13,10,34,2015.59,122 301 302 303 304 305 306 307 308,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시도
13,병원,1991-09-30,1,영업/정상,13,영업중,,,,,041-521-7000,14118.03,331-958,충청남도 천안시 서북구 두정동 621번지,충청남도 천안시 서북구 노태산로 4 (두정동),31099,대전대학교천안한방병원,2024-01-22 14:38,2024-01-24 2:40,한방병원,211383.2656,369362.0081,한방병원,43,32,99,14118.03,301 304 307 308 305 302 303 306 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
14,병원,1900-01-01,1,영업/정상,13,영업중,,,,,041-570-7555,18263.12,331-947,충청남도 천안시 서북구 쌍용2동 542번지 3호,충청남도 천안시 서북구 다가말3길 8 (쌍용동),31181,의료법인영서의료재단천안충무병원,2023-11-01 16:28,2023-11-03 2:40,종합병원,211676.8218,366239.6848,종합병원,52,75,364,18263.12,411 410 407 406 405 404 403 402 126 125 124 122 120 119 118 116 115 113 112 111 110 109 108 107 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 예방의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강병리과, 예방치과",,,,0,0,,,0,,시도
15,병원,1996-11-07,1,영업/정상,13,영업중,,,,,041-572-4567,,331-950,충청남도 천안시 서북구 쌍용1동 1197번지,충청남도 천안시 서북구 미라2길 18-11 (쌍용동),31155,혜성산부인과병원,2023-01-12 9:49,2023-01-14 2:40,병원,211574.2104,366623.5914,병원,8,29,32,3692,110,산부인과,,,,0,0,,,0,,시군구
16,병원,2002-02-28,1,영업/정상,13,영업중,,,,,041-571-7000,596.12,331-946,충청남도 천안시 서북구 쌍용1동 446번지 14호,충청남도 천안시 서북구 충무로 129 (쌍용동),31174,예일병원,2023-09-04 11:17,2023-09-06 2:40,병원,210794.095,365749.2558,병원,20,17,50,596.12,101 104,"내과, 외과",,,,0,0,,,0,,시군구
17,병원,2003-01-09,1,영업/정상,13,영업중,,,,,041-564-2875,0,330-986,충청남도 천안시 동남구 구성동 293번지 49호,충청남도 천안시 동남구 충절로 283 (구성동),31193,고려치과병원,2023-12-21 13:06,2023-12-23 2:40,치과병원,214253.4038,365847.8052,치과병원,2,0,0,0,411 408 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 구강내과, 예방치과",,,,0,0,,,0,,시군구
18,병원,2004-09-22,1,영업/정상,13,영업중,,,,,041-590-9000,6940.85,,충청남도 천안시 동남구 청당동 151번지,충청남도 천안시 동남구 남부대로 350 (청당동),31211,천안우리병원,2024-01-08 9:26,2024-01-10 2:40,병원,213848.4107,364412.422,병원,65,26,100,6940.85,124 122 116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과, 직업환경의학과",,,,0,0,,,0,,시군구
19,병원,2004-12-18,1,영업/정상,13,영업중,,,,,552-0005,,331-978,충청남도 천안시 서북구 성정2동 1535번지,충청남도 천안시 서북구 동서대로 129 (성정동),31109,가온치과병원,2023-06-21 13:12,2023-06-23 2:40,치과병원,212220.7829,369427.9635,치과병원,8,0,0,1690,407 406 405 404 403 402 109,"마취통증의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과",,,,0,0,,,0,,시군구
20,병원,2005-11-21,1,영업/정상,13,영업중,,,,,041-521-1114,2837.6,,,충청남도 천안시 동남구 목천읍 삼방로 735 (천안시립노인전문병원),31064,천안시립노인전문병원,2023-12-15 13:55,2023-12-17 2:40,요양병원(노인병원),220155.0714,369332.6862,요양병원(노인병원),17,29,144,2837.6,101 102 104 105 106 120 301,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 한방내과",,,,0,0,,,0,,시도
21,병원,2006-02-14,1,영업/정상,13,영업중,,,,,041-551-3391,4400.2,,충청남도 천안시 서북구 성정동 1504 호원빌딩,"충청남도 천안시 서북구 성정공원1길 9-4, 호원빌딩 1층,2층,4층~6층 (성정동)",31109,삼성스카이병원,2024-01-26 16:22,2024-01-28 2:40,병원,212327.0362,369485.4505,병원,16,69,200,4400.2,301 120 101,"내과, 재활의학과, 한방내과",,,,0,0,,,0,,시군구
22,병원,1998-05-18,1,영업/정상,13,영업중,,,,,577-2233,,,충청남도 천안시 서북구 불당동 1534번지,"충청남도 천안시 서북구 불당25로 176, 율곡스퀘어 5층 504호 (불당동)",31156,열린치과병원,2023-04-26 10:39,2023-04-29 2:40,치과병원,209665.0805,368317.2305,치과병원,3,0,0,487.7,407 406 405,"소아치과, 치주과, 치과보존과",,,,0,0,,,0,,시군구
