시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,의료기관종별명,병상수(개),의료인수(명),입원실수(개),진료과목내용,연면적(㎡),WGS84위도,WGS84경도
가평군,노체리안드리자애병원,12432,경기도 가평군 조종면 꽃동네길 46 (노체리안드리자애병원),경기도 가평군 조종면 하판리 540번지 2호,1995-12-18,영업/정상,,병원,62,16,12,"내과, 정신건강의학과, 외과, 영상의학과",6511.34,37.8848827889,127.3516963281
가평군,에이치제이매그놀리아국제병원,12461,경기도 가평군 설악면 미사리로 267-177,경기도 가평군 설악면 송산리 460번지,2003-05-17,영업/정상,,병원,99,51,40,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 성형외과, 마취통증의학과, 산부인과, 영상의학과, 재활의학과, 가정의학과",22941.69,37.6911268232,127.5213805697
가평군,국군청평병원,12452,경기도 가평군 청평면 경춘로 926,경기도 가평군 청평면 청평리 567번지 21호 사서함,1994-05-23,폐업,2017-09-19,병원,350,65,6,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 치과",999999,37.7436907006,127.4295840866
고양시,연세마두병원,10414,"경기도 고양시 일산동구 강석로 123 (마두동, 뉴삼창마트)","경기도 고양시 일산동구 마두동 802번지 뉴삼창마트 3층,6층,7층",2013-05-27,영업/정상,,병원,105,25,18,"내과, 신경과, 소아청소년과, 이비인후과, 재활의학과",2257.47,37.6519060465,126.7787885741
고양시,해븐리병원,10338,"경기도 고양시 일산동구 중산로 117, 지하1층 일부, 1층 일부, 2~5층 (중산동)","경기도 고양시 일산동구 중산동 1696 지하1층 일부, 1층 일부, 2~5층",2008-07-11,영업/정상,,병원,178,31,40,"내과, 신경과, 정형외과, 영상의학과, 재활의학과, 가정의학과",4356.63,37.6825466963,126.7810323742
고양시,원당연세병원,10461,"경기도 고양시 덕양구 호국로 781, 2,3,4,6,7층 (주교동)",경기도 고양시 덕양구 주교동 614-5,1999-12-01,영업/정상,,병원,68,53,20,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 비뇨의학과, 영상의학과, 가정의학과",2273.45,37.6561952654,126.8353750640
고양시,의료법인자인의료재단(더자인병원),10518,"경기도 고양시 덕양구 중앙로 555, 지하1,1-10층 (행신동)","경기도 고양시 덕양구 행신동 995번지 지하1,1-10층",2002-01-16,영업/정상,,병원,83,54,15,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과",5522.55,37.6229829943,126.8356822065
고양시,의료법인 세경의료재단 새빛안과병원,10447,경기도 고양시 일산동구 중앙로 1065 (백석동),경기도 고양시 일산동구 백석2동 1334-3,2005-10-19,영업/정상,,병원,50,58,14,"내과, 마취통증의학과, 안과",4090.99,37.6442600485,126.7857429159
고양시,일산하이병원,10338,경기도 고양시 일산동구 고양대로 761 (중산동),경기도 고양시 일산동구 중산동 1695번지,2012-08-17,영업/정상,,병원,76,26,18,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",5331.7,37.6825530810,126.7806013574
고양시,일산이십일세기병원,10447,"경기도 고양시 일산동구 중앙로 1059 (백석동, ISD빌딩 3~8층)",경기도 고양시 일산동구 백석동 1332번지 ISD빌딩 3~8층,2014-05-09,영업/정상,,병원,91,31,18,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",3602.99,37.6439291153,126.7861654817
고양시,든든한병원,10234,"경기도 고양시 일산서구 하이파크2로 60 (덕이동, 든든한빌딩 3~11층)",경기도 고양시 일산서구 덕이동 1551번지 든든한빌딩3~11층,2015-07-14,영업/정상,,병원,138,32,30,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과",3725.4,37.6990741604,126.7558945375
고양시,국군고양병원,10271,경기도 고양시 덕양구 혜음로 215 (벽제동),경기도 고양시 덕양구 벽제동 335번지 1호,1994-06-07,영업/정상,,병원,150,69,29,"내과, 정신건강의학과, 외과, 정형외과, 신경외과, 산부인과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 응급의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과",11191.95,37.7193723507,126.8980909496
고양시,허유재병원,10401,"경기도 고양시 일산동구 중앙로 1317, 지하1층~5층,6층 일부, 8층 (장항동)",경기도 고양시 일산동구 장항동 780번지,2004-03-02,영업/정상,,병원,77,69,43,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과",8427.19,37.6629288877,126.7699403885
고양시,그레이스병원,10447,"경기도 고양시 일산동구 중앙로 1073, (지하2층,지하1층,1층중일부,2~9층)/중앙로1071(1층중 일부, 2~4층) (백석동)",경기도 고양시 일산동구 백석동 1334번지,1999-01-07,영업/정상,,병원,60,59,32,"내과, 외과, 산부인과, 소아청소년과, 영상의학과, 가정의학과",4721.17,37.6447608487,126.7850920150
고양시,의료법인일산복음병원,10355,"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",경기도 고양시 일산동구 중산동 186번지 2호 가동,1989-09-04,영업/정상,,병원,134,126,33,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과",5969.53,37.6819095824,126.7800178490
고양시,일산복음재활병원,10355,"경기도 고양시 일산동구 고양대로 760, 나동 6~10층 (중산동, 일산복음병원)",경기도 고양시 일산동구 중산동 186-2번지 일산복음병원 나동 6~10층,2015-11-20,영업/정상,,병원,222,89,50,재활의학과,6270.43,37.6818751238,126.7802790210
고양시,원흥아이제일병원,10560,"경기도 고양시 덕양구 권율대로 685, SIB타워 9,10층 (원흥동)","경기도 고양시 덕양구 원흥동 638번지 9층 10층, SIB타워",2020-05-18,영업/정상,,병원,55,31,34,"내과, 소아청소년과, 이비인후과, 피부과, 영상의학과, 병리과, 진단검사의학과, 가정의학과",1784.1,37.6511971684,126.8740533837
고양시,고양휴메디병원,10564,"경기도 고양시 덕양구 원흥3로 6-17, 3층~7층 (원흥동)",경기도 고양시 덕양구 원흥동 633번지 7호,2020-04-13,영업/정상,,병원,199,53,54,"내과, 신경과, 정신건강의학과, 가정의학과, 침구과",3440.45,37.6477369911,126.8759301417
고양시,다병원,10486,"경기도 고양시 덕양구 서정마을로 5, 행신프라자 3~7층 (행신동)",경기도 고양시 덕양구 행신동 1078 행신프라자 3~7층,2023-04-03,영업/정상,,병원,41,11,13,"내과, 정형외과, 마취통증의학과, 영상의학과, 재활의학과",1493,37.6183679269,126.8469411661
고양시,일산중심재활병원,10228,"경기도 고양시 일산서구 미래로 227, 일산중심병원 지하1-지상4층 (덕이동)",경기도 고양시 일산서구 덕이동 613번지 3호 일산중심병원,2007-12-28,영업/정상,,병원,288,94,85,"내과, 신경과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과",9974.1,37.6997768166,126.7459052061
고양시,연세항맥병원,10386,"경기도 고양시 일산서구 강성로 121 (주엽동, 삼희프라자301~6호,309~11호,401~2,409-1호,410~11호)","경기도 고양시 일산서구 주엽동 66번지 일산삼희프라자301~6호,309~11호,401~2호,409-1호,410~11호",2014-10-17,영업/정상,,병원,46,7,17,"내과, 외과",1420.21,37.6705775903,126.7621321995
고양시,로하스일산병원,10341,"경기도 고양시 일산서구 일중로 59 (일산동, 일산마샬빌딩 4,5,6,7,8층)","경기도 고양시 일산서구 일산2동 554번지 4호 일산마샬빌딩 4,5,6,7,8층",2009-04-29,영업/정상,,병원,112,45,31,"내과, 재활의학과, 가정의학과, 한방내과",2590,37.6849895679,126.7751907088
고양시,연세강인병원,10500,"경기도 고양시 덕양구 화중로 50, 4,5,6층 (화정동)","경기도 고양시 덕양구 화정동 984번지 1호 반석프라자 4층, 5층, 6층",2012-01-25,영업/정상,,병원,85,18,16,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과",2101.6,37.6317066867,126.8306859357
고양시,홀리병원,10585,"경기도 고양시 덕양구 지축1로 65, 로로프라자 3층(301~304호),4~6층 전체호 (지축동)",경기도 고양시 덕양구 지축동 0 로로프라자,2022-10-12,영업/정상,,병원,120,35,32,"내과, 신경과, 재활의학과",2545.62,37.6488501700,126.9155283449
고양시,서울척탑병원,10560,"경기도 고양시 덕양구 권율대로 685, SIB타워 6층,7층 ,803~808호 (원흥동)","경기도 고양시 덕양구 원흥동 638번지 SIB타워 6층,7층 ,803~808호",2020-05-18,영업/정상,,병원,68,42,19,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",2400.63,37.6511971684,126.8740533837
고양시,의료법인일산복음병원,10355,"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",경기도 고양시 일산동구 중산동 186번지 2호 가동,1989-09-04,영업중,,병원,134,126,33,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과",5969.53,37.6819095824,126.7800178490
고양시,로하스일산병원,10341,"경기도 고양시 일산서구 일중로 59 (일산동, 일산마샬빌딩 4,5,6,7,8층)","경기도 고양시 일산서구 일산2동 554번지 4호 일산마샬빌딩 4,5,6,7,8층",2009-04-29,영업중,,병원,112,45,31,"내과, 재활의학과, 가정의학과, 한방내과",2590,37.6849895679,126.7751907088
고양시,연세마두병원,10414,"경기도 고양시 일산동구 강석로 123 (마두동, 뉴삼창마트)","경기도 고양시 일산동구 마두동 802번지 뉴삼창마트 3층,6층,7층",2013-05-27,영업중,,병원,105,26,18,"내과, 신경과, 소아청소년과, 이비인후과, 재활의학과",2257.47,37.6519060465,126.7787885741
고양시,홀리병원,10585,"경기도 고양시 덕양구 지축1로 65, 로로프라자 3층(301~304호),4~6층 전체호 (지축동)",경기도 고양시 덕양구 지축동 0 로로프라자,2022-10-12,영업중,,병원,120,35,32,"내과, 신경과, 재활의학과",2545.62,37.6488501700,126.9155283449
고양시,든든한병원,10234,"경기도 고양시 일산서구 하이파크2로 60 (덕이동, 든든한빌딩 3~11층)",경기도 고양시 일산서구 덕이동 1551번지 든든한빌딩3~11층,2015-07-14,영업중,,병원,138,32,30,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과",3725.4,37.6990741604,126.7558945375
